id,title,type,genre,subgenre,duration,rating,quality,year,network,thumbnail_key,progress,is_live,is_new,is_expiring,description,tags
show_001,The Last of Us,tv,drama,post-apocalyptic,60,TV-MA,4K HDR,2023,HBO,editorial/last-of-us,0,false,false,false,"Post-pandemic drama series based on the acclaimed video game","zombies,survival,adaptation,pedro pascal"
show_002,Ted Lasso,tv,comedy,sports,30,TV-MA,HD,2020,Apple TV+,continue-watching/ted-lasso,45,false,false,false,"American football coach manages British soccer team","feel-good,sports,workplace,jason sudeikis"
show_003,Formula 1: Drive to Survive,tv,documentary,sports,45,TV-14,4K,2019,Netflix,trending/f1-drive-survive,0,false,false,false,"Behind-the-scenes look at Formula 1 racing","racing,sports doc,competition,reality"
movie_001,Top Gun: Maverick,movie,action,military,131,PG-13,4K HDR,2022,Paramount,editorial/top-gun-maverick,0,false,false,false,"Pete 'Maverick' Mitchell confronts his past while training Top Gun graduates","tom cruise,aviation,sequel,navy"
movie_002,Everything Everywhere All at Once,movie,action,sci-fi,139,R,4K,2022,A24,trending/everything-everywhere,0,false,false,false,"A woman discovers she can access parallel universes","multiverse,martial arts,comedy,michelle yeoh"
movie_003,The Menu,movie,comedy,dark comedy,107,R,HD,2022,Searchlight,collections/the-menu,0,false,false,false,"A couple travels to a remote island to eat at an exclusive restaurant","thriller,satire,ralph fiennes,culinary"
sports_001,NFL: Cowboys vs Eagles,sports,sports,football,180,TV-PG,4K,2024,FOX,live-now/nfl-cowboys-eagles,0,true,false,false,"NFC East rivalry game - Live from AT&T Stadium","nfl,football,live,rivalry"
sports_002,NBA: Lakers vs Celtics,sports,sports,basketball,150,TV-PG,HD,2024,ESPN,live-now/nba-lakers-celtics,0,true,false,false,"Classic rivalry renewed at TD Garden","nba,basketball,live,lebron james"
sports_003,Premier League: Man United vs Liverpool,sports,sports,soccer,120,TV-PG,4K,2024,NBC Sports,live-now/epl-united-liverpool,0,true,false,false,"Northwest Derby from Old Trafford","soccer,premier league,live,rivalry"
sports_004,MLB: Yankees vs Red Sox,sports,sports,baseball,180,TV-PG,HD,2024,YES Network,gamestream/mlb-yankees-redsox,0,false,false,false,"AL East rivalry highlights","mlb,baseball,highlights,rivalry"
sports_005,UFC 298: Volkanovski vs Topuria,sports,sports,mma,300,TV-14,4K,2024,ESPN+,sponsored/ufc-298,0,false,false,false,"Featherweight championship bout","ufc,mma,ppv,championship"
news_001,60 Minutes,tv,news,investigative,60,TV-PG,HD,2024,CBS,live-now/60-minutes,0,false,false,false,"America's premier investigative news magazine","news,current affairs,investigative,documentary"
news_002,BBC World News,tv,news,international,30,TV-PG,HD,2024,BBC,live-now/bbc-world-news,0,true,false,false,"Global news coverage and analysis","news,international,breaking news,live"
